"seed","arm","b10","b60"
1001,"hist1000",-0.19096222903421,-0.206276708605688
1001,"hist50",-0.0827551542559873,-0.158445402182036
1001,"keep1000",-0.206324608872469,-0.206324608872469
1002,"hist1000",-0.201826455445397,-0.20537844898776
1002,"hist50",-0.165668125226181,-0.1849295913757
1002,"keep1000",-0.206322058289351,-0.206325408440781
1003,"hist1000",-0.201393048197428,-0.204857100767687
1003,"hist50",-0.00990344049461467,-0.190316702454989
1003,"keep1000",-0.206323842553063,-0.206325517953544
1004,"hist1000",-0.197104948226197,-0.205196332261697
1004,"hist50",-0.0491897119830778,-0.178402624369243
1004,"keep1000",-0.206316997969112,-0.206325370087579
1005,"hist1000",-0.205912185359256,-0.205912185359256
1005,"hist50",-0.0846972326218027,-0.169390856541464
1005,"keep1000",-0.206323562315967,-0.20632566593481
1006,"hist1000",-0.203303522540473,-0.205908850800709
1006,"hist50",-0.121039682769728,-0.148611922228096
1006,"keep1000",-0.206319613574068,-0.206325095307569
1007,"hist1000",-0.198893589404156,-0.203672577113224
1007,"hist50",-0.12202078258034,-0.166783331931514
1007,"keep1000",-0.206319861855751,-0.206324766023782
1008,"hist1000",-0.194931597541114,-0.205838297546116
1008,"hist50",-0.200237439336703,-0.200237439336703
1008,"keep1000",-0.206320022060954,-0.206325409967433
1009,"hist1000",-0.177122768328706,-0.204973978925182
1009,"hist50",-0.141985726240069,-0.20053918565081
1009,"keep1000",-0.206325288792718,-0.206325288792718
1010,"hist1000",-0.199800329401017,-0.20482267647527
1010,"hist50",-0.186577753922959,-0.186577753922959
1010,"keep1000",-0.206318843740776,-0.206324958892089
