objective,seed,generator,dedup,n_cand,best_b10,best_b40,best_b80,revisits
func2C,1001,keep,combination,1000,-0.20632025032962584,-0.20632564587247487,-0.20632564587247487,0
func2C,1001,keep,encoding,1000,-0.2063251073936616,-0.20632552326979675,-0.20632552326979675,0
func2C,1001,flip,combination,1000,-0.2013001398091061,-0.20446170156840707,-0.20446170156840707,0
func2C,1001,flip,encoding,1000,-0.2010517057556042,-0.20576816209912435,-0.20576816209912435,0
func2C,1001,random,combination,1000,0.14692992151256323,0.14692992151256323,0.03133920551380692,0
func2C,1001,keep,combination,50,-0.18616304351473636,-0.2063198672783439,-0.2063198672783439,0
func2C,1001,keep,combination,200,-0.20632540696561028,-0.20632540696561028,-0.20632540696561028,0
func2C,1001,flip,combination,50,-0.15618887858215116,-0.16648149965237463,-0.18309564439245193,0
func2C,1001,flip,combination,200,-0.1541069752416329,-0.1877841069879635,-0.19948012538793705,0
func2C,1002,keep,combination,1000,-0.20632371386819243,-0.20632478173738092,-0.20632551755839373,0
func2C,1002,keep,encoding,1000,-0.20632199520476302,-0.20632441080271868,-0.20632457605660873,0
func2C,1002,flip,combination,1000,-0.19238462852625357,-0.2034183884282529,-0.20438933596982495,0
func2C,1002,flip,encoding,1000,-0.19760972194744184,-0.20020705559188712,-0.20518787087682813,0
func2C,1002,random,combination,1000,0.25330816237653975,0.03532033041891738,0.03532033041891738,0
func2C,1002,keep,combination,50,-0.20420699125512157,-0.20630534353269595,-0.20632377918561717,0
func2C,1002,keep,combination,200,-0.20626844534002334,-0.2063252224243664,-0.2063252224243664,0
func2C,1002,flip,combination,50,-0.1583863808398421,-0.1583863808398421,-0.18794340188975472,0
func2C,1002,flip,combination,200,-0.20530041483147093,-0.20530041483147093,-0.20530041483147093,0
func2C,1003,keep,combination,1000,-0.20631872423480674,-0.2063249439123874,-0.2063249439123874,0
func2C,1003,keep,encoding,1000,-0.20632383191655007,-0.20632383191655007,-0.2063253941298596,0
func2C,1003,flip,combination,1000,-0.20271891487780405,-0.20271891487780405,-0.20322558055491297,0
func2C,1003,flip,encoding,1000,-0.19448367058491783,-0.2061133238633524,-0.2061133238633524,0
func2C,1003,random,combination,1000,0.006738963471462394,0.006738963471462394,0.006738963471462394,0
func2C,1003,keep,combination,50,-0.19503737765754975,-0.20629804219401132,-0.20629804219401132,0
func2C,1003,keep,combination,200,-0.20632219850353423,-0.20632219850353423,-0.2063256055115484,0
func2C,1003,flip,combination,50,-0.17833097876849063,-0.17833097876849063,-0.17833097876849063,0
func2C,1003,flip,combination,200,-0.08216960778950114,-0.19464833733583614,-0.19802257568134177,0
func2C,1004,keep,combination,1000,-0.20632107304153852,-0.20632521632908857,-0.20632521632908857,0
func2C,1004,keep,encoding,1000,-0.2063173041024602,-0.20632382090661588,-0.2063250585647404,0
func2C,1004,flip,combination,1000,-0.20499182133468516,-0.20628681533902343,-0.20628681533902343,0
func2C,1004,flip,encoding,1000,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,random,combination,1000,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,keep,combination,50,-0.20499182133468516,-0.20499182133468516,-0.2063085046207486,0
func2C,1004,keep,combination,200,-0.20627280556646546,-0.20631272562547803,-0.2063173662953385,0
func2C,1004,flip,combination,50,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,flip,combination,200,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1005,keep,combination,1000,-0.206316491411683,-0.20632512065375547,-0.20632515795367334,0
func2C,1005,keep,encoding,1000,-0.2063217791915278,-0.206321825993732,-0.20632556967713295,0
func2C,1005,flip,combination,1000,-0.20066884912403302,-0.20596475022399502,-0.20610240078478737,0
func2C,1005,flip,encoding,1000,-0.2050198488628514,-0.2050198488628514,-0.2050198488628514,0
func2C,1005,random,combination,1000,0.12819167334330953,-0.028359474744641698,-0.028359474744641698,0
func2C,1005,keep,combination,50,-0.20364937927763682,-0.20628503191710923,-0.2062994758665103,0
func2C,1005,keep,combination,200,-0.20631640105282928,-0.20632267231052143,-0.2063236202427125,0
func2C,1005,flip,combination,50,-0.08281944523854538,-0.15301045648907455,-0.18161337596199814,0
func2C,1005,flip,combination,200,-0.1742480517555409,-0.2002825439107813,-0.2002825439107813,0
func2C,1006,keep,combination,1000,-0.2056296173370676,-0.20632487636657193,-0.2063252768078041,0
func2C,1006,keep,encoding,1000,-0.20632304566057047,-0.20632496707307899,-0.20632544738454278,0
func2C,1006,flip,combination,1000,-0.20574058878978257,-0.20574058878978257,-0.20574058878978257,0
func2C,1006,flip,encoding,1000,-0.20017032207622393,-0.20627745400185504,-0.20627745400185504,0
func2C,1006,random,combination,1000,0.03185996649267302,0.004938029801422585,-0.2049821031781623,0
func2C,1006,keep,combination,50,-0.032413471776363244,-0.20631867497793036,-0.20631867497793036,0
func2C,1006,keep,combination,200,-0.20629919831577587,-0.20632336742468302,-0.20632336742468302,0
func2C,1006,flip,combination,50,-0.17549400600383716,-0.20311834274650492,-0.2048014031990068,0
func2C,1006,flip,combination,200,-0.1642390350691006,-0.19632000924423054,-0.19632000924423054,0
func2C,1007,keep,combination,1000,-0.20632200297865153,-0.20632551344544608,-0.20632551433858107,0
func2C,1007,keep,encoding,1000,-0.20631586158515317,-0.20632543192304534,-0.20632543192304534,0
func2C,1007,flip,combination,1000,-0.2015090037206872,-0.20593994873687813,-0.2060284055661338,0
func2C,1007,flip,encoding,1000,-0.20131250768165349,-0.20187376029445936,-0.20187376029445936,0
func2C,1007,random,combination,1000,0.006202555764331888,0.006202555764331888,0.006202555764331888,0
func2C,1007,keep,combination,50,-0.20630271650628002,-0.2063155390551393,-0.2063155390551393,0
func2C,1007,keep,combination,200,-0.2062996207270101,-0.20631677691373143,-0.20632432513258564,0
func2C,1007,flip,combination,50,-0.19153478746100533,-0.19153478746100533,-0.19153478746100533,0
func2C,1007,flip,combination,200,-0.17259321695923002,-0.19775020944599728,-0.2028401162997163,0
func2C,1008,keep,combination,1000,-0.2063136888289784,-0.2063248337380764,-0.2063248337380764,0
func2C,1008,keep,encoding,1000,-0.20631988199027468,-0.2063247586748378,-0.20632517530590228,0
