objective,seed,surrogate,generator,dedup,best_b10,best_b40,best_b80,revisits
func2C,1001,gp,keep,combination,0.10977249077219584,-0.14046544402167974,-0.15489333298343752,0
func2C,1001,gp,keep,encoding,0.09867142326704693,0.037199569825069514,0.008545578585790546,0
func2C,1001,gp,flip,combination,0.12250753395465469,-0.029095304525082667,-0.1922036184392637,0
func2C,1001,gp,flip,encoding,0.15137218941378902,0.006144244206043245,0.006144244206043245,0
func2C,1001,rf,keep,combination,0.12154922585344045,-0.012464652060846926,-0.014253727059543997,0
func2C,1001,rf,keep,encoding,0.012797962017183737,0.0016654649234728452,-0.1856389099728405,0
func2C,1001,rf,flip,combination,0.12192795094298042,0.03692467729260038,-0.040139902401167694,0
func2C,1001,rf,flip,encoding,0.19226749125788953,0.01824233139691611,0.005994174647702667,0
func2C,1001,tpe,own,own,-0.006897107756833254,-0.15586818705633335,-0.18900009296194947,0
func2C,1001,random,random,combination,0.19489144393457,0.003532269293505544,-0.023261080269418706,0
func2C,1002,gp,keep,combination,0.05860024949535539,0.0010294912859618833,0.0010294912859618833,0
func2C,1002,gp,keep,encoding,0.018221972603541803,0.0025791111181195088,-0.09783640386104527,0
func2C,1002,gp,flip,combination,0.04718149467754926,0.0038150741270383173,0.0038150741270383173,0
func2C,1002,gp,flip,encoding,0.17610604481720388,-0.04806486024922677,-0.18595269345984028,0
func2C,1002,rf,keep,combination,0.36218382306313013,-0.14739944965508486,-0.1976679831372335,0
func2C,1002,rf,keep,encoding,0.010191829147714264,-0.09947057700396986,-0.09947057700396986,0
func2C,1002,rf,flip,combination,0.16976346881502072,-0.02828238241901713,-0.14855663226536767,0
func2C,1002,rf,flip,encoding,0.19667198582304815,-0.19436307463148103,-0.19436307463148103,0
func2C,1002,tpe,own,own,0.039504355257861196,0.03568482434577888,0.026159341701065993,0
func2C,1002,random,random,combination,0.05762549534211587,0.022267352875359095,0.003375661286826559,0
func2C,1003,gp,keep,combination,-0.062003444375547966,-0.062003444375547966,-0.18520819742292635,0
func2C,1003,gp,keep,encoding,0.044877951622478596,0.02206930121805208,0.0002444570547414371,0
func2C,1003,gp,flip,combination,0.044877951622478596,0.044877951622478596,0.03099545080354273,0
func2C,1003,gp,flip,encoding,0.044877951622478596,0.0228109659351603,0.0033128499869363,0
func2C,1003,rf,keep,combination,0.044877951622478596,0.01982030521691152,-0.02132074271905433,0
func2C,1003,rf,keep,encoding,0.044877951622478596,0.044877951622478596,0.044877951622478596,0
func2C,1003,rf,flip,combination,0.044877951622478596,0.025486531915569398,0.010372856951123999,0
func2C,1003,rf,flip,encoding,0.044877951622478596,-0.08951268626101641,-0.08951268626101641,0
func2C,1003,tpe,own,own,0.11566880237998803,0.051126074194026,0.03146164648963487,0
func2C,1003,random,random,combination,0.044877951622478596,0.044877951622478596,0.04001974849946174,0
func2C,1004,gp,keep,combination,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,gp,keep,encoding,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,gp,flip,combination,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,gp,flip,encoding,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,rf,keep,combination,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
func2C,1004,rf,keep,encoding,-0.20499182133468516,-0.20499182133468516,-0.20499182133468516,0
