objective,seed,arm,generator,sigma,n_cand,best_b80
func2C,1001,dial,keep,0.0,1000,-0.2063256354735569
func2C,1001,dial,keep,0.0,50,-0.20630877440212178
func2C,1001,dial,keep,1.0,1000,-0.20615686786833357
func2C,1001,dial,keep,1.0,50,-0.20523825288972555
func2C,1001,dial,keep,3.0,1000,-0.20266062099597923
func2C,1001,dial,keep,3.0,50,-0.20418722517538232
func2C,1001,dial,keep,10.0,1000,-0.19707677822907238
func2C,1001,dial,keep,10.0,50,-0.19815322388430373
func2C,1001,dial,keep,30.0,1000,-0.11295683444177626
func2C,1001,dial,keep,30.0,50,-0.16846871283179068
func2C,1001,dial,keep,100.0,1000,-0.07348035242334074
func2C,1001,dial,keep,100.0,50,-0.16354691681273056
func2C,1001,dial,flip,0.0,1000,-0.20598884354167563
func2C,1001,dial,flip,0.0,50,-0.1683154777370583
func2C,1001,dial,flip,1.0,1000,-0.08428428412377809
func2C,1001,dial,flip,1.0,50,-0.08994423000234611
func2C,1001,dial,flip,3.0,1000,-0.02527765403941027
func2C,1001,dial,flip,3.0,50,0.044144464005879264
func2C,1001,dial,flip,10.0,1000,0.002313992161832406
func2C,1001,dial,flip,10.0,50,-0.02838411872814537
func2C,1001,dial,flip,30.0,1000,-0.06063092165962034
func2C,1001,dial,flip,30.0,50,-0.03524209284687827
func2C,1001,dial,flip,100.0,1000,-0.1766894857204143
func2C,1001,dial,flip,100.0,50,-0.152622545583842
func2C,1001,tpe_shared,own,-1,-1,-0.20527130255575848
func2C,1002,dial,keep,0.0,1000,-0.20632560331701738
func2C,1002,dial,keep,0.0,50,-0.20631938172667202
func2C,1002,dial,keep,1.0,1000,-0.20631441285548907
func2C,1002,dial,keep,1.0,50,-0.024915508824437348
func2C,1002,dial,keep,3.0,1000,-0.09900675732128342
func2C,1002,dial,keep,3.0,50,-0.008414216340608243
func2C,1002,dial,keep,10.0,1000,0.002156901709207581
func2C,1002,dial,keep,10.0,50,0.038989050769248
func2C,1002,dial,keep,30.0,1000,-0.11350062924442254
func2C,1002,dial,keep,30.0,50,0.0060025713920366375
func2C,1002,dial,keep,100.0,1000,0.021183177355604314
func2C,1002,dial,keep,100.0,50,-0.007265133067158136
func2C,1002,dial,flip,0.0,1000,-0.2050288441239736
func2C,1002,dial,flip,0.0,50,-0.1825223068838433
func2C,1002,dial,flip,1.0,1000,-0.04885018316220663
func2C,1002,dial,flip,1.0,50,-0.04210246267213693
func2C,1002,dial,flip,3.0,1000,-0.09691259938405222
func2C,1002,dial,flip,3.0,50,-0.12004531551120023
func2C,1002,dial,flip,10.0,1000,-0.055116791208134674
func2C,1002,dial,flip,10.0,50,-0.04260810459134432
func2C,1002,dial,flip,30.0,1000,-0.04233014371924325
func2C,1002,dial,flip,30.0,50,-0.186480855384661
func2C,1002,dial,flip,100.0,1000,-0.0583676443533984
func2C,1002,dial,flip,100.0,50,-0.08264604573283038
func2C,1002,tpe_shared,own,-1,-1,-0.035726094065175885
func2C,1003,dial,keep,0.0,1000,-0.2063244090886666
func2C,1003,dial,keep,0.0,50,-0.206325447523031
func2C,1003,dial,keep,1.0,1000,-0.20043027509030736
func2C,1003,dial,keep,1.0,50,-0.20598764755737514
func2C,1003,dial,keep,3.0,1000,-0.12235346924640433
func2C,1003,dial,keep,3.0,50,-0.19616958106952467
func2C,1003,dial,keep,10.0,1000,-0.07594167316731135
func2C,1003,dial,keep,10.0,50,-0.19755445232619134
func2C,1003,dial,keep,30.0,1000,-0.13604841470449194
func2C,1003,dial,keep,30.0,50,-0.16841314965658583
func2C,1003,dial,keep,100.0,1000,-0.0779548088346168
func2C,1003,dial,keep,100.0,50,-0.0251931094121902
func2C,1003,dial,flip,0.0,1000,-0.20564878737226056
func2C,1003,dial,flip,0.0,50,-0.19995922593752366
func2C,1003,dial,flip,1.0,1000,-0.1205032238516007
func2C,1003,dial,flip,1.0,50,-0.00936706243838686
func2C,1003,dial,flip,3.0,1000,0.003789968918523916
func2C,1003,dial,flip,3.0,50,-0.12286039200118996
func2C,1003,dial,flip,10.0,1000,-0.18215258049797042
func2C,1003,dial,flip,10.0,50,-0.037223279242447685
