objective,seed,generator,sigma,n_cand,best_b80
func2C,1026,keep,0.0,1000,-0.20632554515168544
func2C,1026,keep,0.0,50,-0.20632189792278907
func2C,1026,keep,1.0,1000,-0.2062768926750635
func2C,1026,keep,1.0,50,-0.2047012123251295
func2C,1026,keep,3.0,1000,-0.20488309143848765
func2C,1026,keep,3.0,50,-0.1802897194428545
func2C,1026,keep,10.0,1000,0.03141393279483489
func2C,1026,keep,10.0,50,-0.2032447737251096
func2C,1026,keep,30.0,1000,0.02948074284198058
func2C,1026,keep,30.0,50,-0.20258854703002854
func2C,1026,keep,100.0,1000,0.0032723137856609645
func2C,1026,keep,100.0,50,0.022462282590110932
func2C,1026,flip,0.0,1000,-0.20425845182518693
func2C,1026,flip,0.0,50,-0.16240731951287915
func2C,1026,flip,1.0,1000,-0.05623624219700196
func2C,1026,flip,1.0,50,0.006441006810705458
func2C,1026,flip,3.0,1000,-0.11187540322604268
func2C,1026,flip,3.0,50,-0.19501642925006263
func2C,1026,flip,10.0,1000,-0.05287949002993484
func2C,1026,flip,10.0,50,-0.1532888575331725
func2C,1026,flip,30.0,1000,-0.06916797466486942
func2C,1026,flip,30.0,50,0.013561072554416909
func2C,1026,flip,100.0,1000,-0.08324268359050362
func2C,1026,flip,100.0,50,-0.11757379032580466
func2C,1027,keep,0.0,1000,-0.20632470683712884
func2C,1027,keep,0.0,50,-0.20631111897212234
func2C,1027,keep,1.0,1000,-0.19358894777000119
func2C,1027,keep,1.0,50,-0.20617860369797286
func2C,1027,keep,3.0,1000,-0.19829988894046202
func2C,1027,keep,3.0,50,-0.06521099933346361
func2C,1027,keep,10.0,1000,0.02099563064194105
func2C,1027,keep,10.0,50,0.05252209465725497
func2C,1027,keep,30.0,1000,-0.020421978155130915
func2C,1027,keep,30.0,50,-0.022165126314049086
func2C,1027,keep,100.0,1000,0.035184329720198554
func2C,1027,keep,100.0,50,0.019359975332761528
func2C,1027,flip,0.0,1000,-0.20394172898602622
func2C,1027,flip,0.0,50,-0.19486188564406678
func2C,1027,flip,1.0,1000,-0.1330666145061849
func2C,1027,flip,1.0,50,-0.12015165606158258
func2C,1027,flip,3.0,1000,-0.006981915133929118
func2C,1027,flip,3.0,50,-0.17334124950205743
func2C,1027,flip,10.0,1000,-0.0558355182236019
func2C,1027,flip,10.0,50,-0.03397039761828149
func2C,1027,flip,30.0,1000,-0.1270343760921751
func2C,1027,flip,30.0,50,0.005631248293387736
func2C,1027,flip,100.0,1000,-0.02744253601543121
func2C,1027,flip,100.0,50,-0.057351321260403584
func2C,1028,keep,0.0,1000,-0.20632534710942335
func2C,1028,keep,0.0,50,-0.20632566506788258
func2C,1028,keep,1.0,1000,-0.12066124533352693
func2C,1028,keep,1.0,50,-0.20630791113321933
func2C,1028,keep,3.0,1000,-0.20048090439039146
func2C,1028,keep,3.0,50,-0.18809373071495952
func2C,1028,keep,10.0,1000,-0.07676328262504238
func2C,1028,keep,10.0,50,-0.12219563047694978
func2C,1028,keep,30.0,1000,0.02812359544923846
func2C,1028,keep,30.0,50,-0.20379680049133353
func2C,1028,keep,100.0,1000,0.004603212310155231
func2C,1028,keep,100.0,50,0.00022415799499628936
func2C,1028,flip,0.0,1000,-0.20494585008400223
func2C,1028,flip,0.0,50,-0.1874176535921706
func2C,1028,flip,1.0,1000,-0.18085598803183855
func2C,1028,flip,1.0,50,-0.19169727612634085
func2C,1028,flip,3.0,1000,0.004047917527908317
func2C,1028,flip,3.0,50,-0.1796546741750012
func2C,1028,flip,10.0,1000,0.05443541137391479
func2C,1028,flip,10.0,50,-0.16273319666946082
func2C,1028,flip,30.0,1000,0.022657796462954405
func2C,1028,flip,30.0,50,0.006272298839961443
func2C,1028,flip,100.0,1000,-0.13673393402301381
func2C,1028,flip,100.0,50,-0.1394768100418004
func2C,1029,keep,0.0,1000,-0.20632566569898447
func2C,1029,keep,0.0,50,-0.2063121900099861
func2C,1029,keep,1.0,1000,-0.2059543976763424
func2C,1029,keep,1.0,50,-0.1234656638247863
func2C,1029,keep,3.0,1000,-0.07900518999490887
func2C,1029,keep,3.0,50,0.02096123448952515
func2C,1029,keep,10.0,1000,-0.09613761797989866
func2C,1029,keep,10.0,50,-0.0025892502883382074
func2C,1029,keep,30.0,1000,-0.18078975888244303
func2C,1029,keep,30.0,50,-0.1931751094852433
func2C,1029,keep,100.0,1000,-0.14075150551007382
func2C,1029,keep,100.0,50,0.0007814255948174961
func2C,1029,flip,0.0,1000,-0.20351662888532213
func2C,1029,flip,0.0,50,-0.19809701791503392
func2C,1029,flip,1.0,1000,-0.05460283382575211
func2C,1029,flip,1.0,50,-0.18629832396718285
func2C,1029,flip,3.0,1000,-0.005919259518855202
func2C,1029,flip,3.0,50,-0.18005053002058827
func2C,1029,flip,10.0,1000,0.009079254738407986
func2C,1029,flip,10.0,50,0.09647400097665614
func2C,1029,flip,30.0,1000,-0.09371236538813713
func2C,1029,flip,30.0,50,-0.19671777300340423
