objective,seed,surrogate,generator,dedup,budget,best_b10,best_b40,best_b80,best_b240,revisits
func2C,1051,gp,keep,combination,80,0.015348833349454062,-0.1548930716340302,-0.16087207615476545,,0
func2C,1051,gp,flip,combination,80,0.015348833349454062,-0.03954456259800539,-0.03954456259800539,,0
func2C,1052,gp,keep,combination,80,0.05145808554470153,0.05145808554470153,0.05145808554470153,,0
func2C,1052,gp,flip,combination,80,0.05145808554470153,0.04934911391987438,0.021006841123189242,,0
func2C,1053,gp,keep,combination,80,0.006698706422223844,0.006698706422223844,0.00017608440538857684,,0
func2C,1053,gp,flip,combination,80,0.0009483622922232884,-0.0231595550687654,-0.0231595550687654,,0
func2C,1054,gp,keep,combination,80,0.08543297928180343,0.07647416841168948,0.020266461284373122,,0
func2C,1054,gp,flip,combination,80,0.08543297928180343,0.06371468978246038,-0.03853402702443033,,0
func2C,1055,gp,keep,combination,80,0.022387629643726942,-0.0417483311514946,-0.0417483311514946,,0
func2C,1055,gp,flip,combination,80,0.09398401241752981,0.028324688096615588,0.028324688096615588,,0
func3C,1051,gp,keep,combination,80,0.5768033899158848,0.0963050328230858,0.046677208398814354,,0
func3C,1051,gp,flip,combination,80,0.09564000922942956,0.09564000922942956,0.09564000922942956,,0
func3C,1052,gp,keep,combination,80,0.011982337674880317,0.011982337674880317,0.011982337674880317,,0
func3C,1052,gp,flip,combination,80,0.011982337674880317,0.011982337674880317,0.011982337674880317,,0
func3C,1053,gp,keep,combination,80,-0.2806424191777974,-0.6280545541598167,-0.6280545541598167,,0
func3C,1053,gp,flip,combination,80,0.032502683518521425,-0.035147370470410166,-0.6089336113465744,,0
func3C,1054,gp,keep,combination,80,-0.2784607131702095,-0.30060242370423007,-0.3656963492025027,,0
func3C,1054,gp,flip,combination,80,-0.2784607131702095,-0.2784607131702095,-0.2784607131702095,,0
func3C,1055,gp,keep,combination,80,0.14082411241456433,-0.06564611238751938,-0.485194956133465,,0
func3C,1055,gp,flip,combination,80,0.14082411241456433,0.06050007280437725,-0.18325489594617034,,0
