seed,iter,method,best
1001,0,BASS-BO,4.796091497647913
1001,1,BASS-BO,4.796091497647913
1001,2,BASS-BO,4.796091497647913
1001,3,BASS-BO,4.796091497647913
1001,4,BASS-BO,4.796091497647913
1001,5,BASS-BO,4.796091497647913
1001,6,BASS-BO,4.796091497647913
1001,7,BASS-BO,4.796091497647913
1001,8,BASS-BO,4.796091497647913
1001,9,BASS-BO,4.796091497647913
1001,10,BASS-BO,4.796091497647913
1001,11,BASS-BO,4.7939695622938165
1001,12,BASS-BO,4.7939695622938165
1001,13,BASS-BO,4.7939695622938165
1001,14,BASS-BO,4.7939695622938165
1001,15,BASS-BO,4.7939695622938165
1001,16,BASS-BO,4.7939695622938165
1001,17,BASS-BO,4.7939695622938165
1001,18,BASS-BO,4.7939695622938165
1001,19,BASS-BO,4.7939695622938165
1001,20,BASS-BO,4.7939695622938165
1001,21,BASS-BO,4.7939695622938165
1001,22,BASS-BO,4.793796685968291
1001,23,BASS-BO,4.793796685968291
1001,24,BASS-BO,4.793796685968291
1001,25,BASS-BO,4.793796685968291
1001,26,BASS-BO,4.793796685968291
1001,27,BASS-BO,4.793796685968291
1001,28,BASS-BO,4.793796685968291
1001,29,BASS-BO,4.793796685968291
1001,30,BASS-BO,4.793796685968291
1001,31,BASS-BO,4.793796685968291
1001,32,BASS-BO,4.793796685968291
1001,33,BASS-BO,4.793796685968291
1001,34,BASS-BO,4.793796685968291
1001,35,BASS-BO,4.793796685968291
1001,36,BASS-BO,4.793796685968291
1001,37,BASS-BO,4.793796685968291
1001,38,BASS-BO,4.793796685968291
1001,39,BASS-BO,4.793796685968291
1001,40,BASS-BO,4.793796685968291
1001,41,BASS-BO,4.793778155668736
1001,42,BASS-BO,4.793778155668736
1001,43,BASS-BO,4.793778155668736
1001,44,BASS-BO,4.793778155668736
1001,45,BASS-BO,4.793778155668736
1001,46,BASS-BO,4.793778155668736
1001,47,BASS-BO,4.793778155668736
1001,48,BASS-BO,4.793778155668736
1001,49,BASS-BO,4.793778155668736
1001,50,BASS-BO,4.793778155668736
1001,51,BASS-BO,4.793778155668736
1001,52,BASS-BO,4.793778155668736
1001,53,BASS-BO,4.793778155668736
1001,54,BASS-BO,4.793778155668736
1001,55,BASS-BO,4.793778155668736
1001,56,BASS-BO,4.793778155668736
1001,57,BASS-BO,4.793778155668736
1001,58,BASS-BO,4.793778155668736
1001,59,BASS-BO,4.793778155668736
1001,60,BASS-BO,4.793778155668736
1001,61,BASS-BO,4.793778155668736
1001,62,BASS-BO,4.793778155668736
1001,63,BASS-BO,4.793777810195362
1001,64,BASS-BO,4.793777810195362
1001,65,BASS-BO,4.793777810195362
1001,66,BASS-BO,4.793777810195362
1001,67,BASS-BO,4.793777810195362
1001,68,BASS-BO,4.793777810195362
1001,69,BASS-BO,4.793777810195362
1001,70,BASS-BO,4.793777810195362
1001,71,BASS-BO,4.793777810195362
1001,72,BASS-BO,4.793777810195362
1001,73,BASS-BO,4.793777810195362
1001,74,BASS-BO,4.793777810195362
1001,75,BASS-BO,4.793777810195362
1001,76,BASS-BO,4.793777810195362
1001,77,BASS-BO,4.793777810195362
1001,78,BASS-BO,4.793777810195362
1001,79,BASS-BO,4.793777810195362
1001,80,BASS-BO,4.793777810195362
1001,81,BASS-BO,4.793777810195362
1001,82,BASS-BO,4.793777810195362
1001,83,BASS-BO,4.793777810195362
1001,84,BASS-BO,4.793777810195362
1001,85,BASS-BO,4.793777810195362
1001,86,BASS-BO,4.793777810195362
1001,87,BASS-BO,4.793777810195362
1001,88,BASS-BO,4.793777810195362
1001,89,BASS-BO,4.793777810195362
1001,90,BASS-BO,4.793777810195362
1001,91,BASS-BO,4.793777810195362
1001,92,BASS-BO,4.793777810195362
1001,93,BASS-BO,4.793777810195362
1001,94,BASS-BO,4.793777810195362
1001,95,BASS-BO,4.793777810195362
1001,96,BASS-BO,4.793777810195362
1001,97,BASS-BO,4.793777810195362
1001,98,BASS-BO,4.793777810195362
1001,99,BASS-BO,4.793777810195362
1001,100,BASS-BO,4.793777810195362
1001,0,GP-BO,4.796091497647913
1001,1,GP-BO,4.796091497647913
1001,2,GP-BO,4.796091497647913
1001,3,GP-BO,4.796091497647913
1001,4,GP-BO,4.796091497647913
1001,5,GP-BO,4.796091497647913
1001,6,GP-BO,4.796091497647913
1001,7,GP-BO,4.796091497647913
1001,8,GP-BO,4.796091497647913
1001,9,GP-BO,4.796091497647913
1001,10,GP-BO,4.796091497647913
1001,11,GP-BO,4.796091497647913
1001,12,GP-BO,4.796091497647913
1001,13,GP-BO,4.796003559397115
1001,14,GP-BO,4.796003559397115
1001,15,GP-BO,4.796003559397115
1001,16,GP-BO,4.796003559397115
1001,17,GP-BO,4.796003559397115
1001,18,GP-BO,4.796003559397115
1001,19,GP-BO,4.796003559397115
1001,20,GP-BO,4.796003559397115
1001,21,GP-BO,4.796003559397115
1001,22,GP-BO,4.796003559397115
1001,23,GP-BO,4.796003559397115
1001,24,GP-BO,4.796003559397115
1001,25,GP-BO,4.796003559397115
1001,26,GP-BO,4.796003559397115
1001,27,GP-BO,4.796003559397115
1001,28,GP-BO,4.795205970276731
1001,29,GP-BO,4.795205970276731
1001,30,GP-BO,4.795205970276731
1001,31,GP-BO,4.795205970276731
1001,32,GP-BO,4.795205970276731
1001,33,GP-BO,4.795205970276731
1001,34,GP-BO,4.795205970276731
1001,35,GP-BO,4.795205970276731
1001,36,GP-BO,4.795205970276731
1001,37,GP-BO,4.794220628028487
1001,38,GP-BO,4.794220628028487
1001,39,GP-BO,4.794220628028487
1001,40,GP-BO,4.794220628028487
1001,41,GP-BO,4.794220628028487
1001,42,GP-BO,4.794220628028487
1001,43,GP-BO,4.794220628028487
1001,44,GP-BO,4.794220628028487
1001,45,GP-BO,4.794220628028487
1001,46,GP-BO,4.794220628028487
1001,47,GP-BO,4.794220628028487
1001,48,GP-BO,4.794220628028487
1001,49,GP-BO,4.794220628028487
1001,50,GP-BO,4.794220628028487
1001,51,GP-BO,4.794220628028487
1001,52,GP-BO,4.794220628028487
1001,53,GP-BO,4.794220628028487
1001,54,GP-BO,4.794220628028487
1001,55,GP-BO,4.794220628028487
1001,56,GP-BO,4.794220628028487
1001,57,GP-BO,4.794220628028487
1001,58,GP-BO,4.794220628028487
1001,59,GP-BO,4.794220628028487
1001,60,GP-BO,4.794220628028487
1001,61,GP-BO,4.794167136434625
1001,62,GP-BO,4.794167136434625
1001,63,GP-BO,4.794167136434625
1001,64,GP-BO,4.794167136434625
1001,65,GP-BO,4.794167136434625
1001,66,GP-BO,4.794167136434625
1001,67,GP-BO,4.794167136434625
1001,68,GP-BO,4.794167136434625
1001,69,GP-BO,4.794167136434625
1001,70,GP-BO,4.794167136434625
1001,71,GP-BO,4.794167136434625
1001,72,GP-BO,4.794167136434625
1001,73,GP-BO,4.794167136434625
1001,74,GP-BO,4.794167136434625
1001,75,GP-BO,4.794167136434625
1001,76,GP-BO,4.794167136434625
1001,77,GP-BO,4.794167136434625
1001,78,GP-BO,4.794167136434625
1001,79,GP-BO,4.794167136434625
1001,80,GP-BO,4.794027771950365
1001,81,GP-BO,4.794027771950365
1001,82,GP-BO,4.794027771950365
1001,83,GP-BO,4.794027771950365
1001,84,GP-BO,4.794027771950365
1001,85,GP-BO,4.794027771950365
1001,86,GP-BO,4.794027771950365
1001,87,GP-BO,4.794027771950365
1001,88,GP-BO,4.794027771950365
1001,89,GP-BO,4.794027771950365
1001,90,GP-BO,4.794027771950365
1001,91,GP-BO,4.794027771950365
1001,92,GP-BO,4.794027771950365
1001,93,GP-BO,4.794027771950365
1001,94,GP-BO,4.794027771950365
1001,95,GP-BO,4.794027771950365
1001,96,GP-BO,4.794027771950365
1001,97,GP-BO,4.794027771950365
1001,98,GP-BO,4.794027771950365
1001,99,GP-BO,4.794027771950365
1001,100,GP-BO,4.794027771950365
1001,0,Random,4.796091497647913
1001,1,Random,4.796091497647913
1001,2,Random,4.796091497647913
1001,3,Random,4.796091497647913
1001,4,Random,4.796091497647913
1001,5,Random,4.796091497647913
1001,6,Random,4.796091497647913
1001,7,Random,4.796091497647913
1001,8,Random,4.796091497647913
1001,9,Random,4.796091497647913
1001,10,Random,4.796091497647913
1001,11,Random,4.796091497647913
1001,12,Random,4.796091497647913
1001,13,Random,4.796091497647913
1001,14,Random,4.796091497647913
1001,15,Random,4.796091497647913
1001,16,Random,4.796091497647913
1001,17,Random,4.796091497647913
1001,18,Random,4.796091497647913
1001,19,Random,4.796091497647913
1001,20,Random,4.796091497647913
1001,21,Random,4.796091497647913
1001,22,Random,4.796091497647913
1001,23,Random,4.796091497647913
1001,24,Random,4.796091497647913
1001,25,Random,4.796091497647913
1001,26,Random,4.796091497647913
1001,27,Random,4.796091497647913
1001,28,Random,4.796091497647913
1001,29,Random,4.796091497647913
1001,30,Random,4.796091497647913
1001,31,Random,4.796091497647913
1001,32,Random,4.796091497647913
1001,33,Random,4.796091497647913
1001,34,Random,4.796091497647913
1001,35,Random,4.796091497647913
1001,36,Random,4.796091497647913
1001,37,Random,4.796091497647913
1001,38,Random,4.796091497647913
1001,39,Random,4.796091497647913
1001,40,Random,4.796091497647913
1001,41,Random,4.796091497647913
1001,42,Random,4.796091497647913
1001,43,Random,4.796091497647913
1001,44,Random,4.796091497647913
1001,45,Random,4.796091497647913
1001,46,Random,4.796091497647913
1001,47,Random,4.796091497647913
1001,48,Random,4.796091497647913
1001,49,Random,4.796091497647913
1001,50,Random,4.796091497647913
1001,51,Random,4.796091497647913
1001,52,Random,4.796091497647913
1001,53,Random,4.796091497647913
1001,54,Random,4.796091497647913
1001,55,Random,4.796091497647913
1001,56,Random,4.796091497647913
1001,57,Random,4.796091497647913
1001,58,Random,4.796091497647913
1001,59,Random,4.796091497647913
1001,60,Random,4.796091497647913
1001,61,Random,4.796091497647913
1001,62,Random,4.796091497647913
1001,63,Random,4.796091497647913
1001,64,Random,4.796091497647913
1001,65,Random,4.796091497647913
1001,66,Random,4.796091497647913
1001,67,Random,4.796091497647913
1001,68,Random,4.796091497647913
1001,69,Random,4.796091497647913
1001,70,Random,4.796091497647913
1001,71,Random,4.796091497647913
1001,72,Random,4.796091497647913
1001,73,Random,4.796091497647913
1001,74,Random,4.796091497647913
1001,75,Random,4.796091497647913
1001,76,Random,4.796091497647913
1001,77,Random,4.796091497647913
1001,78,Random,4.796091497647913
1001,79,Random,4.796091497647913
1001,80,Random,4.796091497647913
1001,81,Random,4.796091497647913
1001,82,Random,4.796091497647913
1001,83,Random,4.796091497647913
1001,84,Random,4.796091497647913
1001,85,Random,4.796091497647913
1001,86,Random,4.796091497647913
1001,87,Random,4.796091497647913
1001,88,Random,4.796091497647913
1001,89,Random,4.796091497647913
1001,90,Random,4.796091497647913
1001,91,Random,4.796091497647913
1001,92,Random,4.796091497647913
1001,93,Random,4.796091497647913
1001,94,Random,4.796091497647913
1001,95,Random,4.796091497647913
1001,96,Random,4.796091497647913
1001,97,Random,4.796091497647913
1001,98,Random,4.796091497647913
1001,99,Random,4.796091497647913
1001,100,Random,4.796091497647913
1002,0,BASS-BO,4.977150389343471
1002,1,BASS-BO,4.977150389343471
1002,2,BASS-BO,4.977150389343471
1002,3,BASS-BO,4.965869538686995
1002,4,BASS-BO,4.965869538686995
1002,5,BASS-BO,4.965869538686995
1002,6,BASS-BO,4.965869538686995
1002,7,BASS-BO,4.965869538686995
1002,8,BASS-BO,4.965869538686995
1002,9,BASS-BO,4.965869538686995
1002,10,BASS-BO,4.965869538686995
1002,11,BASS-BO,4.965869538686995
1002,12,BASS-BO,4.965869538686995
1002,13,BASS-BO,4.965869538686995
1002,14,BASS-BO,4.965869538686995
1002,15,BASS-BO,4.965869538686995
1002,16,BASS-BO,4.965869538686995
1002,17,BASS-BO,4.965869538686995
1002,18,BASS-BO,4.953182047447113
1002,19,BASS-BO,4.953182047447113
1002,20,BASS-BO,4.953182047447113
1002,21,BASS-BO,4.953182047447113
1002,22,BASS-BO,4.953182047447113
1002,23,BASS-BO,4.953182047447113
1002,24,BASS-BO,4.953182047447113
1002,25,BASS-BO,4.953182047447113
1002,26,BASS-BO,4.953182047447113
1002,27,BASS-BO,4.953182047447113
1002,28,BASS-BO,4.953182047447113
1002,29,BASS-BO,4.9527429136970245
1002,30,BASS-BO,4.9527429136970245
1002,31,BASS-BO,4.9527429136970245
1002,32,BASS-BO,4.9527429136970245
1002,33,BASS-BO,4.9527429136970245
1002,34,BASS-BO,4.9527429136970245
1002,35,BASS-BO,4.9527429136970245
1002,36,BASS-BO,4.9527429136970245
1002,37,BASS-BO,4.9527429136970245
1002,38,BASS-BO,4.9527429136970245
1002,39,BASS-BO,4.9527429136970245
1002,40,BASS-BO,4.9527429136970245
1002,41,BASS-BO,4.9527429136970245
1002,42,BASS-BO,4.9527429136970245
1002,43,BASS-BO,4.9527429136970245
1002,44,BASS-BO,4.9527429136970245
1002,45,BASS-BO,4.9527429136970245
1002,46,BASS-BO,4.9527429136970245
1002,47,BASS-BO,4.9527429136970245
1002,48,BASS-BO,4.9527429136970245
1002,49,BASS-BO,4.9527429136970245
1002,50,BASS-BO,4.9527429136970245
1002,51,BASS-BO,4.9527429136970245
1002,52,BASS-BO,4.9527429136970245
1002,53,BASS-BO,4.9527429136970245
1002,54,BASS-BO,4.9527429136970245
1002,55,BASS-BO,4.9527429136970245
1002,56,BASS-BO,4.9527429136970245
1002,57,BASS-BO,4.9527429136970245
1002,58,BASS-BO,4.9527429136970245
1002,59,BASS-BO,4.9527429136970245
1002,60,BASS-BO,4.9527429136970245
1002,61,BASS-BO,4.9527429136970245
1002,62,BASS-BO,4.9527429136970245
1002,63,BASS-BO,4.9527429136970245
1002,64,BASS-BO,4.9527429136970245
1002,65,BASS-BO,4.9527429136970245
1002,66,BASS-BO,4.9527429136970245
1002,67,BASS-BO,4.9527429136970245
1002,68,BASS-BO,4.9527429136970245
1002,69,BASS-BO,4.9527429136970245
1002,70,BASS-BO,4.9527429136970245
1002,71,BASS-BO,4.952699506055795
1002,72,BASS-BO,4.952699506055795
1002,73,BASS-BO,4.952699506055795
1002,74,BASS-BO,4.952699506055795
1002,75,BASS-BO,4.952699506055795
1002,76,BASS-BO,4.952699506055795
1002,77,BASS-BO,4.952699506055795
1002,78,BASS-BO,4.952699506055795
1002,79,BASS-BO,4.952699506055795
1002,80,BASS-BO,4.952699506055795
1002,81,BASS-BO,4.952699506055795
1002,82,BASS-BO,4.952699506055795
1002,83,BASS-BO,4.952699506055795
1002,84,BASS-BO,4.952626691384196
1002,85,BASS-BO,4.952626691384196
1002,86,BASS-BO,4.952626691384196
1002,87,BASS-BO,4.952626691384196
1002,88,BASS-BO,4.952626691384196
1002,89,BASS-BO,4.952626691384196
1002,90,BASS-BO,4.952626691384196
1002,91,BASS-BO,4.952626691384196
1002,92,BASS-BO,4.952626691384196
1002,93,BASS-BO,4.952626691384196
1002,94,BASS-BO,4.952626691384196
1002,95,BASS-BO,4.952626691384196
1002,96,BASS-BO,4.952626691384196
1002,97,BASS-BO,4.952626691384196
1002,98,BASS-BO,4.952626691384196
1002,99,BASS-BO,4.952626691384196
1002,100,BASS-BO,4.952626691384196
1002,0,GP-BO,4.977150389343471
1002,1,GP-BO,4.971200808508334
1002,2,GP-BO,4.971200808508334
1002,3,GP-BO,4.971200808508334
1002,4,GP-BO,4.971200808508334
1002,5,GP-BO,4.9588624763952005
1002,6,GP-BO,4.9588624763952005
1002,7,GP-BO,4.9588624763952005
1002,8,GP-BO,4.9588624763952005
1002,9,GP-BO,4.9588624763952005
1002,10,GP-BO,4.9588624763952005
1002,11,GP-BO,4.9588624763952005
1002,12,GP-BO,4.9588624763952005
1002,13,GP-BO,4.9588624763952005
1002,14,GP-BO,4.9588624763952005
1002,15,GP-BO,4.9588624763952005
1002,16,GP-BO,4.9588624763952005
1002,17,GP-BO,4.9588624763952005
