method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,4.863991193680406,0.13760897786373014,50,0.019460848279918615,4.825847931051766,4.902134456309047
BASS-BO,1,4.863646416037018,0.13766697437776598,50,0.019469050225590603,4.825487077594861,4.9018057544791755
BASS-BO,2,4.8634852717859305,0.13788417033351658,50,0.01949976637222211,4.825265729696375,4.901704813875486
BASS-BO,3,4.862709121622286,0.1367966397674893,50,0.019345966324625003,4.824791027626021,4.9006272156185515
BASS-BO,4,4.862272877335865,0.1366411388502685,50,0.01932397517401549,4.824397885994795,4.900147868676935
BASS-BO,5,4.862141167952713,0.13658029013985723,50,0.01931536986686384,4.8242830430136605,4.899999292891766
BASS-BO,6,4.861443236541615,0.13659255345778512,50,0.019317104161917172,4.823581712384257,4.899304760698973
BASS-BO,7,4.860354684342048,0.13434682608016763,50,0.018999510350435247,4.8231156440551946,4.897593724628901
BASS-BO,8,4.860113694549123,0.13442141679611216,50,0.01901005907064684,4.822853978770655,4.897373410327591
BASS-BO,9,4.859743751826333,0.13427949386753474,50,0.018989988137606245,4.822523375076624,4.896964128576041
BASS-BO,10,4.859032079335462,0.13469310806133436,50,0.01904848201785239,4.821697054580471,4.896367104090452
BASS-BO,11,4.8587289096723865,0.13426457914806875,50,0.01898787887775147,4.821512667071993,4.8959451522727795
BASS-BO,12,4.858390844927747,0.13425387405473913,50,0.018986364948934145,4.821177569627836,4.895604120227659
BASS-BO,13,4.858250040962702,0.13427475593513769,50,0.018989318092780896,4.821030977500851,4.895469104424552
BASS-BO,14,4.858228220257475,0.13428221622379038,50,0.01899037313692008,4.821007088909112,4.895449351605838
BASS-BO,15,4.85812745419799,0.13417478390592907,50,0.01897517991282442,4.820936101568854,4.895318806827126
BASS-BO,16,4.85789894047956,0.1340460938902613,50,0.018956980396274477,4.820743258902862,4.895054622056257
BASS-BO,17,4.857849783944195,0.13407049136915455,50,0.018960430720828335,4.820687339731371,4.895012228157018
BASS-BO,18,4.857271633244299,0.13379628757428444,50,0.018921652448272385,4.820185194445685,4.8943580720429125
BASS-BO,19,4.857199045964533,0.1336808638862827,50,0.018905329073773267,4.820144600979938,4.894253490949128
