method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,0.1713800024986267,0.01186230042925507,25,0.002372460085851014,0.16672998073035872,0.17603002426689468
BASS-BO,1,0.16909000158309936,0.012018841518643613,25,0.0024037683037287224,0.16437861570779108,0.17380138745840765
BASS-BO,2,0.16831999778747558,0.012205816062265442,25,0.0024411632124530886,0.16353531789106754,0.17310467768388363
BASS-BO,3,0.16714999914169312,0.01190566512422127,25,0.002381133024844254,0.16248297841299839,0.17181701987038786
BASS-BO,4,0.16649999856948852,0.011206633146240036,25,0.002241326629248007,0.16210699837616244,0.1708929987628146
BASS-BO,5,0.1656499981880188,0.009486013400331332,25,0.0018972026800662665,0.1619314809350889,0.16936851544094866
BASS-BO,6,0.1652799987792969,0.009240517008146877,25,0.0018481034016293754,0.1616577161121033,0.16890228144649047
BASS-BO,7,0.1646399974822998,0.009548150049208172,25,0.0019096300098416345,0.16089712266301018,0.1683828723015894
BASS-BO,8,0.16394999742507935,0.009347743200161386,25,0.0018695486400322771,0.16028568209061608,0.1676143127595426
BASS-BO,9,0.16328999996185303,0.00949525341665693,25,0.001899050683331386,0.1595678606225235,0.16701213930118256
BASS-BO,10,0.16319000005722045,0.009475925963725287,25,0.0018951851927450573,0.15947543707944015,0.16690456303500076
BASS-BO,11,0.16259000062942505,0.00874669238289513,25,0.0017493384765790258,0.15916129721533015,0.16601870404351995
BASS-BO,12,0.1622000002861023,0.008840015850246347,25,0.0017680031700492693,0.15873471407280573,0.16566528649939885
BASS-BO,13,0.1611800003051758,0.008975237682087921,25,0.0017950475364175843,0.15766170713379732,0.16469829347655426
BASS-BO,14,0.1604800009727478,0.008863819997034375,25,0.001772763999406875,0.15700538353391033,0.1639546184115853
BASS-BO,15,0.15996000051498413,0.008581013210189543,25,0.0017162026420379085,0.15659624333658984,0.16332375769337842
BASS-BO,16,0.1591700029373169,0.0086487386064006,25,0.0017297477212801198,0.15577969740360786,0.16256030847102593
BASS-BO,17,0.15896000385284423,0.008468290538336656,25,0.0016936581076673312,0.15564043396181626,0.1622795737438722
BASS-BO,18,0.15856000423431396,0.008735194776480529,25,0.001747038955296106,0.1551358078819336,0.16198420058669433
BASS-BO,19,0.15772000312805176,0.008521215592640689,25,0.0017042431185281376,0.15437968661573662,0.1610603196403669
BASS-BO,20,0.15772000312805176,0.008521215592640689,25,0.0017042431185281376,0.15437968661573662,0.1610603196403669
BASS-BO,21,0.1575100016593933,0.008410522562693309,25,0.0016821045125386617,0.15421307681481752,0.16080692650396908
BASS-BO,22,0.15717000007629395,0.008312178537229204,25,0.0016624357074458407,0.1539116260897001,0.1604283740628878
BASS-BO,23,0.15717000007629395,0.008312178537229204,25,0.0016624357074458407,0.1539116260897001,0.1604283740628878
BASS-BO,24,0.15686000347137452,0.008132719566457383,25,0.0016265439132914766,0.15367197740132324,0.1600480295414258
BASS-BO,25,0.15686000347137452,0.008132719566457383,25,0.0016265439132914766,0.15367197740132324,0.1600480295414258
BASS-BO,26,0.15616000652313233,0.007895114512591879,25,0.0015790229025183758,0.1530651216341963,0.15925489141206836
BASS-BO,27,0.15536000490188598,0.007880983150479633,25,0.0015761966300959266,0.15227065950689797,0.158449350296874
BASS-BO,28,0.154830002784729,0.007163177069916299,25,0.0014326354139832598,0.15202203737332182,0.15763796819613618
BASS-BO,29,0.15469000339508057,0.007019427334223111,25,0.001403885466844622,0.1519383878800651,0.15744161891009603
BASS-BO,30,0.15469000339508057,0.007019427334223111,25,0.001403885466844622,0.1519383878800651,0.15744161891009603
BASS-BO,31,0.15449000120162965,0.006737057745093008,25,0.0013474115490186016,0.1518490745655532,0.1571309278377061
BASS-BO,32,0.15401000022888184,0.006760594478400125,25,0.001352118895680025,0.151359847193349,0.15666015326441468
