seed,iter,method,best
1001,0,BASS-BO,-0.2681948150953559
1001,1,BASS-BO,-0.2681948150953559
1001,2,BASS-BO,-0.2681948150953559
1001,3,BASS-BO,-0.2681948150953559
1001,4,BASS-BO,-0.2681948150953559
1001,5,BASS-BO,-0.2681948150953559
1001,6,BASS-BO,-0.2681948150953559
1001,7,BASS-BO,-0.2681948150953559
1001,8,BASS-BO,-0.2681948150953559
1001,9,BASS-BO,-0.2681948150953559
1001,10,BASS-BO,-0.2681948150953559
1001,11,BASS-BO,-0.2681948150953559
1001,12,BASS-BO,-0.2681948150953559
1001,13,BASS-BO,-0.2681948150953559
1001,14,BASS-BO,-0.2681948150953559
1001,15,BASS-BO,-0.2681948150953559
1001,16,BASS-BO,-0.2681948150953559
1001,17,BASS-BO,-0.4860057183069021
1001,18,BASS-BO,-0.4860057183069021
1001,19,BASS-BO,-0.4860057183069021
1001,20,BASS-BO,-0.4860057183069021
1001,21,BASS-BO,-0.4860057183069021
1001,22,BASS-BO,-0.4860057183069021
1001,23,BASS-BO,-0.5268693602020911
1001,24,BASS-BO,-0.7776456419711476
1001,25,BASS-BO,-0.7776456419711476
1001,26,BASS-BO,-0.7776456419711476
1001,27,BASS-BO,-0.7776456419711476
1001,28,BASS-BO,-0.7776456419711476
1001,29,BASS-BO,-0.7776456419711476
1001,30,BASS-BO,-0.7776456419711476
1001,31,BASS-BO,-0.7776456419711476
1001,32,BASS-BO,-0.7776456419711476
1001,33,BASS-BO,-0.7776456419711476
1001,34,BASS-BO,-0.7776456419711476
1001,35,BASS-BO,-0.7776456419711476
1001,36,BASS-BO,-0.7776456419711476
1001,37,BASS-BO,-0.7776456419711476
1001,38,BASS-BO,-0.7776456419711476
1001,39,BASS-BO,-0.7776456419711476
1001,40,BASS-BO,-0.7776456419711476
1001,41,BASS-BO,-0.7776456419711476
1001,42,BASS-BO,-0.7776456419711476
1001,43,BASS-BO,-0.7776456419711476
1001,44,BASS-BO,-0.7776456419711476
1001,45,BASS-BO,-0.7776456419711476
1001,46,BASS-BO,-0.7776456419711476
1001,47,BASS-BO,-0.7776456419711476
1001,48,BASS-BO,-0.7776456419711476
