method,iter,mean_best,sd_best,n,se,ci_low,ci_high
BASS-BO,0,-0.14053865249686337,0.20503377077199308,25,0.04100675415439862,-0.22091189063948466,-0.06016541435424208
BASS-BO,1,-0.14053865249686337,0.20503377077199308,25,0.04100675415439862,-0.22091189063948466,-0.06016541435424208
BASS-BO,2,-0.14053865249686337,0.20503377077199308,25,0.04100675415439862,-0.22091189063948466,-0.06016541435424208
BASS-BO,3,-0.14053865249686337,0.20503377077199308,25,0.04100675415439862,-0.22091189063948466,-0.06016541435424208
BASS-BO,4,-0.14053865249686337,0.20503377077199308,25,0.04100675415439862,-0.22091189063948466,-0.06016541435424208
BASS-BO,5,-0.1667429709377138,0.20915277668224175,25,0.04183055533644835,-0.24873085939715256,-0.08475508247827505
BASS-BO,6,-0.1667429709377138,0.20915277668224175,25,0.04183055533644835,-0.24873085939715256,-0.08475508247827505
BASS-BO,7,-0.1667429709377138,0.20915277668224175,25,0.04183055533644835,-0.24873085939715256,-0.08475508247827505
BASS-BO,8,-0.1711079635572113,0.20955395506412014,25,0.04191079101282403,-0.2532531139423464,-0.08896281317207622
BASS-BO,9,-0.1801982267966499,0.20652459009469756,25,0.04130491801893951,-0.26115586611377134,-0.09924058747952846
BASS-BO,10,-0.1801982267966499,0.20652459009469756,25,0.04130491801893951,-0.26115586611377134,-0.09924058747952846
BASS-BO,11,-0.21117796228521135,0.19209815783867545,25,0.03841963156773509,-0.28648044015797214,-0.13587548441245056
BASS-BO,12,-0.2146869869380893,0.1882291078463105,25,0.0376458215692621,-0.288472797213843,-0.1409011766623356
BASS-BO,13,-0.255622550220438,0.21726470818671745,25,0.04345294163734349,-0.34079031582963126,-0.17045478461124475
BASS-BO,14,-0.2631897769085056,0.21488507537993298,25,0.0429770150759866,-0.3474247264574393,-0.17895482735957186
BASS-BO,15,-0.2631897769085056,0.21488507537993298,25,0.0429770150759866,-0.3474247264574393,-0.17895482735957186
BASS-BO,16,-0.2832946946861689,0.2215077665010132,25,0.04430155330020264,-0.3701257391545661,-0.19646365021777173
BASS-BO,17,-0.29818530387223724,0.22802545872088764,25,0.045605091744177526,-0.38757128369082516,-0.2087993240536493
BASS-BO,18,-0.29818530387223724,0.22802545872088764,25,0.045605091744177526,-0.38757128369082516,-0.2087993240536493
BASS-BO,19,-0.3048672211946046,0.22274323172345353,25,0.044548646344690704,-0.39218256803019835,-0.2175518743590108
BASS-BO,20,-0.3048672211946046,0.22274323172345353,25,0.044548646344690704,-0.39218256803019835,-0.2175518743590108
BASS-BO,21,-0.3091955439187018,0.2233537646784713,25,0.04467075293569426,-0.39675021967266255,-0.22164086816474105
BASS-BO,22,-0.30970050597044607,0.22331503898761715,25,0.04466300779752343,-0.397240001253592,-0.22216101068730015
BASS-BO,23,-0.32548694102674064,0.2373946785623062,25,0.04747893571246124,-0.41854565502316465,-0.23242822703031663
BASS-BO,24,-0.3469314229696418,0.24728336667975823,25,0.04945667333595165,-0.443866502708107,-0.2499963432311766
BASS-BO,25,-0.3469314229696418,0.24728336667975823,25,0.04945667333595165,-0.443866502708107,-0.2499963432311766
BASS-BO,26,-0.35312995597209623,0.24724521943257263,25,0.049449043886514527,-0.4500500819896647,-0.2562098299545278
BASS-BO,27,-0.3560991069076692,0.24605678837150752,25,0.0492113576743015,-0.4525533679493001,-0.2596448458660383
BASS-BO,28,-0.37486717822032267,0.24002964129977533,25,0.04800592825995507,-0.4689587976098346,-0.28077555883081073
BASS-BO,29,-0.37743021113966474,0.24054373061511186,25,0.04810874612302237,-0.4717233535407886,-0.2831370687385409
BASS-BO,30,-0.3929552989254504,0.2259904007496377,25,0.04519808014992754,-0.4815435360193084,-0.3043670618315924
BASS-BO,31,-0.40557030346902306,0.22932266975118318,25,0.04586453395023664,-0.49546479001148686,-0.31567581692655927
BASS-BO,32,-0.43516352883685927,0.2322673628178629,25,0.04645347256357258,-0.5262123350614615,-0.344114722612257
BASS-BO,33,-0.46515168309363786,0.2018316660237069,25,0.04036633320474138,-0.5442696961749309,-0.3860336700123448
BASS-BO,34,-0.46592511318585283,0.20201717547850453,25,0.04040343509570091,-0.5451158459734267,-0.38673438039827907
BASS-BO,35,-0.46592511318585283,0.20201717547850453,25,0.04040343509570091,-0.5451158459734267,-0.38673438039827907
BASS-BO,36,-0.4659532265259883,0.2019968961726655,25,0.0403993792345331,-0.5451360098256732,-0.38677044322630344
BASS-BO,37,-0.4727161711199882,0.2026002459098581,25,0.04052004918197162,-0.5521354675166525,-0.39329687472332386
BASS-BO,38,-0.47368023420659877,0.2020636427369268,25,0.04041272854738536,-0.5528891821594741,-0.39447128625372346
BASS-BO,39,-0.48676945312393494,0.19407622116569573,25,0.038815244233139146,-0.5628473318208876,-0.41069157442698223
BASS-BO,40,-0.4940252981657693,0.1907243014412828,25,0.03814486028825656,-0.5687892243307522,-0.41926137200078645
BASS-BO,41,-0.4955909131306609,0.19129825980064963,25,0.038259651960129926,-0.5705798309725155,-0.42060199528880626
BASS-BO,42,-0.49773140093062745,0.19260511019236695,25,0.03852102203847339,-0.5732326041260353,-0.42223019773521964
BASS-BO,43,-0.515552268283505,0.18189010773369496,25,0.03637802154673899,-0.5868531905151134,-0.44425134605189653
BASS-BO,44,-0.5197820972787078,0.18468008674841924,25,0.036936017349683846,-0.5921766912840882,-0.4473875032733275
BASS-BO,45,-0.5553783260300269,0.18067589470050005,25,0.03613517894010001,-0.6262032767526229,-0.48455337530743087
BASS-BO,46,-0.5579508647756102,0.1812034942185039,25,0.03624069884370078,-0.6289826345092637,-0.48691909504195663
BASS-BO,47,-0.5706780859202397,0.17145086716295618,25,0.034290173432591234,-0.6378868258481185,-0.5034693459923609
BASS-BO,48,-0.585292515282817,0.17265070053920256,25,0.034530140107840515,-0.6529715898941844,-0.5176134406714497
BASS-BO,49,-0.6015391098239207,0.16598710771284994,25,0.03319742154256999,-0.6666060560473579,-0.5364721636004834
BASS-BO,50,-0.6131606090466936,0.1626082971062324,25,0.03252165942124648,-0.6769030615123367,-0.5494181565810504
BASS-BO,51,-0.6278723272611567,0.15753695784078298,25,0.031507391568156594,-0.6896268147347436,-0.5661178397875698
BASS-BO,52,-0.6482887811711986,0.1496010262536523,25,0.02992020525073046,-0.7069323834626303,-0.5896451788797669
BASS-BO,53,-0.6490898714365222,0.1501526126292037,25,0.030030522525840743,-0.70794969558717,-0.5902300472858744
BASS-BO,54,-0.6630776548974027,0.14754167306732863,25,0.029508334613465727,-0.7209139907397955,-0.6052413190550099
BASS-BO,55,-0.6666305642508392,0.14805342682291742,25,0.029610685364583483,-0.7246675075654229,-0.6085936209362556
BASS-BO,56,-0.6760685218067066,0.1486243126434364,25,0.02972486252868728,-0.7343292523629337,-0.6178077912504796
BASS-BO,57,-0.6763491021683546,0.14867648590358412,25,0.029735297180716824,-0.7346302846425596,-0.6180679196941496
BASS-BO,58,-0.6824679931200687,0.15274771195328063,25,0.030549542390656124,-0.7423450962057547,-0.6225908900343826
BASS-BO,59,-0.686118867514933,0.15158812880493658,25,0.030317625760987316,-0.7455414140064681,-0.6266963210233979
BASS-BO,60,-0.6874654364263999,0.1524544559148724,25,0.03049089118297448,-0.7472275831450299,-0.6277032897077699
BASS-BO,61,-0.6877672415334025,0.15267963218587194,25,0.03053592643717439,-0.7476176573502643,-0.6279168257165407
BASS-BO,62,-0.690086713103933,0.1532031486431111,25,0.03064062972862222,-0.7501423473720326,-0.6300310788358334
BASS-BO,63,-0.6927722700862606,0.15571707222854364,25,0.031143414445708728,-0.7538133623998498,-0.6317311777726715
BASS-BO,64,-0.6992401906722402,0.1568171651797305,25,0.031363433035946096,-0.7607125194226946,-0.6377678619217858
BASS-BO,65,-0.7198679688033294,0.14384954080134824,25,0.02876990816026965,-0.7762569887974579,-0.6634789488092009
BASS-BO,66,-0.7300718833937396,0.14045994050176044,25,0.02809198810035209,-0.7851321800704297,-0.6750115867170495
BASS-BO,67,-0.7316641896554698,0.13874583910403632,25,0.027749167820807264,-0.7860525585842519,-0.6772758207266876
BASS-BO,68,-0.7360918378637553,0.13940626617599308,25,0.027881253235198616,-0.7907390942047446,-0.681444581522766
BASS-BO,69,-0.741318745157886,0.13393209894860286,25,0.026786419789720572,-0.7938201279457383,-0.6888173623700337
BASS-BO,70,-0.7415820151575445,0.13406914143622106,25,0.026813828287244212,-0.7941371186005431,-0.6890269117145459
BASS-BO,71,-0.7471259618959418,0.12409079834671938,25,0.024818159669343875,-0.7957695548478558,-0.6984823689440278
BASS-BO,72,-0.7499324293436632,0.12452247737597258,25,0.024904495475194514,-0.7987452404750445,-0.701119618212282
BASS-BO,73,-0.7541073200553443,0.12092958087449207,25,0.024185916174898413,-0.8015117157581452,-0.7067029243525434
BASS-BO,74,-0.7552827740227722,0.12110854444702585,25,0.02422170888940517,-0.8027573234460064,-0.7078082245995381
BASS-BO,75,-0.7573197187933478,0.12105505574842176,25,0.024211011149684353,-0.8047733006467291,-0.7098661369399665
BASS-BO,76,-0.7587403960241125,0.12140984752843509,25,0.024281969505687017,-0.8063330562552591,-0.7111477357929659
BASS-BO,77,-0.7636176973438092,0.12134960172287822,25,0.024269920344575643,-0.8111867412191776,-0.7160486534684409
BASS-BO,78,-0.7654403236298913,0.12201615456161134,25,0.024403230912322268,-0.813270656218043,-0.7176099910417397
BASS-BO,79,-0.7664738414107187,0.12210389402283456,25,0.02442077880456691,-0.8143385678676699,-0.7186091149537676
BASS-BO,80,-0.7671275871623133,0.1223371208250806,25,0.02446742416501612,-0.8150837385257449,-0.7191714357988818
GP-BO,0,-0.14053865249686337,0.20503377077199308,25,0.04100675415439862,-0.22091189063948466,-0.06016541435424208
GP-BO,1,-0.16244083593696262,0.20842382756267563,25,0.041684765512535124,-0.24414297634153148,-0.08073869553239378
GP-BO,2,-0.23787455268736338,0.20715769454542102,25,0.0414315389090842,-0.3190803689491684,-0.15666873642555834
GP-BO,3,-0.26803071165584763,0.2055828044250088,25,0.04111656088500176,-0.3486191709904511,-0.18744225232124417
GP-BO,4,-0.2985939538584071,0.20001192514706348,25,0.040002385029412696,-0.376998628516056,-0.2201892792007582
GP-BO,5,-0.32368949972363076,0.2232382265400711,25,0.044647645308014225,-0.41119888452733866,-0.23618011491992288
GP-BO,6,-0.34926084478344177,0.23803599670527814,25,0.04760719934105563,-0.44257095549191083,-0.2559507340749727
GP-BO,7,-0.38951727530919233,0.23388612649566118,25,0.04677722529913224,-0.48120063689549153,-0.29783391372289314
GP-BO,8,-0.43061233815153116,0.24160478994213488,25,0.04832095798842698,-0.5253214158088481,-0.33590326049421426
GP-BO,9,-0.4835337054593089,0.2149230589903056,25,0.042984611798061116,-0.5677835445835087,-0.39928386633510915
GP-BO,10,-0.5012833965000232,0.2269558408843526,25,0.04539116817687052,-0.5902500861266894,-0.412316706873357
GP-BO,11,-0.5417093017216918,0.2153314299140661,25,0.043066285982813216,-0.6261192222480058,-0.45729938119537794
